Medical Text_eng,Medicine\ Chemical Name_eng,Organ_eng,Disease_eng,Hormones_eng,Pharmacological Class_eng,Common Medical Terms_eng
"Serious side effects of glimepiride include hypoglycemia (too low blood sugar), hypersensitivity (allergic) reactions, dark urine, yellowing of the skin and whites of the eyes, pale or tarry stools, and low sodium levels.",Glimepiride,,,,,
"Store glimepiride in a cool, dry place, away from light and moisture.",Glimepiride,,,,,
"Glimepiride is a sulfonylurea drug that acts on the beta cells of the pancreas to increase insulin aspart secretion. It is used to control type 2 diabetes, especially when lifestyle changes and other medications are not effective in controlling blood sugar levels.",Glimepiride,Pancreas,Type 2 diabetes,Insulin,Sulfonylurea,
"Within 2 to 3 hours, a single dose of glimepiride lowers blood sugar levels.",Glimepiride,,,,,Dosage
"Metoprolol is a beta blocker used to control high blood pressure, heart failure, and irregular heartbeat.",Metoprolol,Heart,"High blood pressure, heart failure, irregular heartbeat",,Beta blockers,
"Metoprolol is available in tablet and injection form. The dosage and method of administration depend on the patient's age, weight, and severity of the disease.",Metoprolol,,,,,
"Some common side effects of metoprolol are headache, rash, fatigue, cold hands and feet, nausea, and depression.",Metoprolol,,,,,
"Metoprolol works by blocking the action of certain hormones, such as adrenaline, which affect the heart and blood vessels. By doing this, it reduces the heart rate and the force with which the heart pumps blood. This results in lower blood pressure and less strain on the heart.",Metoprolol,"Heart, heart",,Adrenaline,,Blood pressure
"If you miss a dose of metoprolol, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Metoprolol,,,,,
"Store metoprolol in a cool, dry place, away from light and moisture.",Metoprolol,,,,,
"Metoprolol usually starts working within two hours and reaches its full effect after about a week. It is normal not to feel any immediate changes in your body, but this does not indicate that the medication is not effective.",Metoprolol,,,,,Medicine
"Metoprolol is a beta blocker that acts on beta-adrenergic receptors in the heart and blood vessels. It reduces the heart rate and blood pressure by reducing the effects of the hormones epinephrine and norepinephrine. It is used to prevent high blood pressure, heart failure, irregular heartbeat, and headaches.",Metoprolol,Heart,"High blood pressure, heart failure, irregular heartbeat, headache","Epinephrine, norepinephrine",Beta blockers,
Enalapril is an ACE inhibitor used to treat high blood pressure and heart failure.,Enalapril,Heart,"High blood pressure, heart disease",,Angiotensin-converting-enzyme inhibitors (ACE inhibitors),
"Enalapril is available in tablet form. The dosage and method of administration depend on the patient's age, weight, and severity of the disease.",Enalapril,,,,,
"Some common side effects of enalapril are dizziness, weakness, skin rash, cough.",Enalapril,,,,,
"If you miss a dose of Enalapril, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Enalapril,,,,,
"If you experience signs of infection while taking enalapril, such as persistent sore throat, cough, fever, chills, night sweats, difficulty breathing, painful or frequent urination, irregular vaginal discharge, or white patches on your face, contact your doctor immediately.",Enalapril,,"Sore throat, cough, fever, chills",,,Doctor
"Store enalapril in a cool, dry place, away from light and moisture. Keep out of the reach of children.",Enalapril,,,,,
"If you overdose on enalapril, seek immediate medical attention as this may be a medical emergency.",Enalapril,,,,,"Overdose, doctor"
"Erlotinib, a revolutionary drug in the field of oncology, serves as a beacon of hope for those battling certain types of cancer. This drug is known for its targeted approach to cancer treatment.",Erlotinib,,,,,
Erlotinib is a targeted therapy drug that falls under the category of tyrosine kinase inhibitors (TKIs).,Erlotinib,,,,Tyrosine kinase inhibitors,
"Erlotinib is specifically designed to fight cancer by blocking the pathways that tumor cells use to grow, divide, and spread. Unlike chemotherapy, which affects all rapidly dividing cells, erlotinib offers a more focused approach, targeting only cancer cells and sparing as many normal, healthy cells as possible from damage.",Erlotinib,,Cancer,,,Chemotherapy
Take Erlotinib as directed by a registered physician.,Allopratinib,,,,,Registered physician
"Store erlotinib in a cool, dry place, away from light and moisture.",Erlotinib,,,,,
"Allopratinib is a tyrosine kinase inhibitor that works by blocking the action of certain proteins involved in the growth and spread of cancer cells. It is mainly used to treat advanced renal cell carcinoma (RCC) and hepatocellular carcinoma (HCC), where other treatments have not been effective.",Allopratinib,"Kidney, liver",,,Tyrosine kinase inhibitors,
Salbutamol is a selective beta-2 adrenoreceptor agonist.,Salbutamol,,,,Beta 2-adrenergic agonist,
"Salbutamol is a respiratory medicine used to treat asthma and other respiratory diseases. It relaxes the smooth muscles in the airways, making it easier to breathe.",Salbutamol,Lungs,"Asthma, COPD",,,
"Salbutamol is available in inhaler, tablet and syrup forms. The dosage and method of administration depend on the patient's age and the severity of the disease.",Salbutamol,,,,,
"Some common side effects of salbutamol are tremors, nervousness, headache, sudden noticeable heart rate (palpitations), trembling, especially in the hands, muscle cramps.",Salbutamol,"Hands, head",,,,
"If you miss a dose of Salbutamol, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Salbutamol,,,,,
"Salbutamol is a medication that has a significant impact on the management of respiratory conditions such as asthma and chronic obstructive pulmonary disease (COPD). This bronchodilator works by relaxing the smooth muscles in the airways, making it easier for people with respiratory problems to breathe.",Salbutamol,Respiratory system,"Asthma, Obstructive Pulmonary Disease (COPD)",,,
"Serious side effects of salbutamol may include: irregular heartbeat (cardiac arrhythmia), low potassium blood levels (hypokalemia), increased blood flow to the extremities (peripheral vasodilation), increased blood flow to the extremities (peripheral vasodilation)",Salbutamol,Heart,"Cardiac arrhythmia, hypokalemia",,,
"Store salbutamol in a cool, dry place, away from light and moisture.",Salbutamol,,,,,
"Salbutamol is a beta2-adrenergic agonist that acts on beta2-adrenergic receptors in the airways to relax smooth muscle. It helps to ease breathing in cases of asthma, COPD and other respiratory diseases.",Salbutamol,Lungs,Asthma,,Beta 2-adrenergic agonist,
Pantoprazole is a proton pump inhibitor (PPI) that is used to treat GERD and ulcers by reducing acid production in the stomach.,Pantoprazole,Stomach,"GERD, ulcers",Gastrin,Proton pump inhibitors (PPIs),
Pantoprazole is available in tablet and injection form. The dosage and method of administration depend on the severity of the disease.,Pantoprazole,,,,,
No significant drug interactions were found with pantoprazole in clinical studies.,Pantoprazole,,,,,
Some common side effects of pantoprazole are headache and diarrhea.,Pantoprazole,Stomach,,,,
"Be careful not to break, chew, or crush pantoprazole tablets.",Pantoprazole,,,,,
"If you miss a dose of Pantoprazole, take it as soon as you remember. However, if it is almost time for your next dose, skip the missed dose and take your next dose at the regular time.",Pantoprazole,,,,,
"Rare side effects of pantoprazole include abdominal pain, flatulence, rash, insomnia, and hyperglycemia.",Pantoprazole,,"Abdominal pain, hyperglycemia",,,
Long-term use of pantoprazole may result in inadequate absorption of cyanocobalamin (vitamin B12) or increase the risk of osteoporosis-related problems.,Pantoprazole,,Osteoporosis,,,
"Keep pantoprazole in a dry place, away from light and heat. Keep out of the reach of children.",Pantoprazole,,,,,
"Pantoprazole is a proton pump inhibitor (PPI) that reduces acid production by blocking the action of the proton pump in the parietal cells of the stomach. It is used to treat GERD, peptic ulcers, Zollinger-Ellison syndrome, and other acid-related conditions.",Pantoprazole,Stomach,"GERD, peptic ulcer, Zollinger-Ellison syndrome",Gastrin,Proton pump inhibitors (PPIs),
Famotidine is a histamine-2 receptor blocker that is used to treat GERD and ulcers by reducing acid production in the stomach.,Famotidine,Stomach,"GERD, ulcers",Gastrin,Histamine-2 receptor blocker,
"Famotidine is also indicated in the treatment of acute gastritis, chronic gastritis in the acute stage of exacerbation.",Famotidine,,Gastritis,,,
"Famotidine is available in tablet, capsule and injection form. The dosage and method of administration depend on the patient's age, weight and severity of the disease.",Famotidine,,,,,
Famotidine interactions with other drugs: No data available.,Famotidine,,,,,
"Some common side effects of famotidine are constipation, diarrhea, dry mouth, nausea, dizziness, lightheadedness, tachycardia, high blood pressure, headache, and loss of appetite.",Famotidine,,,,,
"The use of famotidine can be reduced depending on the condition of the patient. It should be used with caution in the elderly, patients with urinary and hepatic disorders.",Famotidine,Liver,,,,
